# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: editorial-luxury — display serif at hero, restrained palette (cream + ink + single warm accent), generous whitespace, slow motion.
# Direction: paired with directions/editorial-luxury.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,editorial-luxury,"Primary CTA — sans-stack, generous padding, warm-ink accent, slow ease","padding: 16px 36px; background: var(--el-ink); color: var(--el-cream); border: none; border-radius: 2px; font-family: var(--el-sans); font-weight: 500; font-size: 14px; letter-spacing: 0.02em; transition: background-color 320ms cubic-bezier(0.2, 0.8, 0.2, 1);","☐ AA contrast on fg ☐ ease 280-400ms (slow) ☐ visible focus ring ☐ 44x44 touch min","--el-ink: oklch(22% 0.02 60); --el-cream: oklch(97% 0.018 80); --el-sans: 'Inter', system-ui, sans-serif"
button-text,editorial-luxury,"Text-only CTA — serif underline-on-hover, restrained","padding: 0; background: transparent; color: var(--el-ink); font-family: var(--el-serif); font-size: 1.0625rem; font-weight: 400; font-style: italic; border: none; border-bottom: 1px solid currentColor; padding-bottom: 2px;","☐ AA contrast ☐ visible focus ring offset ☐ italic loaded ☐ hover slows opacity to 0.7","--el-ink: oklch(22% 0.02 60); --el-serif: 'GT Sectra', 'Cormorant Garamond', 'Georgia', serif"
hero-marketing,editorial-luxury,"Hero — display serif headline + sans sub, asymmetric grid, generous padding","display: grid; grid-template-columns: 5fr 7fr; gap: 64px; padding-block: 160px 96px; align-items: end;","☐ asymmetric grid ☐ no centred hero ☐ display serif loaded ☐ no hero-metric template","--el-section-y: 160px"
headline-display,editorial-luxury,"Display headline — display serif, balanced, generous tracking","font-family: var(--el-serif); font-size: clamp(3rem, 7vw, 6rem); font-weight: 400; line-height: 1.0; letter-spacing: -0.015em; text-wrap: balance; color: var(--el-ink); font-feature-settings: 'liga', 'dlig';","☐ text-wrap balance ☐ display serif loaded ☐ ligatures on ☐ weight 400 (not bold)","--el-serif: 'GT Sectra', 'Cormorant Garamond', 'Georgia', serif; --el-ink: oklch(22% 0.02 60)"
eyebrow-mark,editorial-luxury,"Section eyebrow — small caps sans, restrained accent","display: block; margin-bottom: 24px; font-family: var(--el-sans); font-size: 11px; font-weight: 500; text-transform: uppercase; letter-spacing: 0.12em; color: var(--el-accent);","☐ AA contrast ☐ tracking 0.12em ☐ accent used sparingly","--el-sans: 'Inter', sans-serif; --el-accent: oklch(48% 0.10 50)"
body-prose,editorial-luxury,"Long-form body — serif, generous leading, oldstyle nums","font-family: var(--el-serif-text); font-size: 19px; line-height: 1.7; max-width: 64ch; font-variant-numeric: oldstyle-nums; color: var(--el-ink);","☐ max 64ch ☐ line-height 1.65-1.75 ☐ oldstyle numerals ☐ AA contrast","--el-serif-text: 'Cambria', 'Georgia', serif; --el-ink: oklch(22% 0.02 60)"
pull-quote,editorial-luxury,"Pull-quote — display serif italic, no quote marks, ample whitespace","margin-block: 80px; padding-inline: 8%; font-family: var(--el-serif); font-size: 2rem; line-height: 1.3; font-weight: 400; font-style: italic; text-align: left; color: var(--el-ink);","☐ semantic <blockquote> ☐ no glyph quotes ☐ italic loaded ☐ generous block margin","--el-serif: 'GT Sectra', serif; --el-ink: oklch(22% 0.02 60)"
ground-cream,editorial-luxury,"Page ground — warm cream, never pure white","background: var(--el-cream); color: var(--el-ink);","☐ ground not #fff ☐ AA contrast for body ☐ warm undertone preserved","--el-cream: oklch(97% 0.018 80); --el-ink: oklch(22% 0.02 60)"
card-feature,editorial-luxury,"Feature card — no chrome, hairline rule top, serif headline","padding: 32px 0; background: transparent; border: none; border-top: 1px solid var(--el-rule); border-radius: 0;","☐ no shadow ☐ no border-radius ☐ hairline only ☐ no decorative gradient","--el-rule: oklch(75% 0.012 60)"
nav-top,editorial-luxury,"Top nav — serif wordmark + sans links, hairline rule below","display: flex; justify-content: space-between; align-items: baseline; padding: 32px 48px; border-bottom: 1px solid var(--el-rule); background: var(--el-cream);","☐ semantic <nav> ☐ baseline alignment ☐ skip-link ☐ aria-current","--el-cream: oklch(97% 0.018 80); --el-rule: oklch(75% 0.012 60)"
