# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: terminal-monospace — monospace throughout, grid via ch units, command-line feel, restrained accent (phosphor-amber or soft-green).
# Direction: paired with directions/terminal-monospace.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,terminal-monospace,"Primary button — monospace, bracketed, accent-on-hover","padding: 8px 16px; background: transparent; color: var(--tm-fg); font-family: var(--tm-mono); font-weight: 500; font-size: 14px; border: 1px solid var(--tm-fg); border-radius: 2px; transition: background-color 100ms ease-out;","☐ AA contrast ☐ hover swaps fg/ground inverse ☐ visible focus ring ☐ 44x44 effective touch via padding","--tm-fg: oklch(88% 0.02 130); --tm-ground: oklch(14% 0.01 130); --tm-mono: 'JetBrains Mono', 'Fira Code', monospace"
button-text,terminal-monospace,"Text-only — mono with caret prefix on hover","padding: 4px 0; background: transparent; color: var(--tm-fg); font-family: var(--tm-mono); font-size: 14px; border: none;","☐ hover prepends '> ' via ::before ☐ AA contrast ☐ visible focus ring","--tm-fg: oklch(88% 0.02 130); --tm-mono: 'JetBrains Mono', monospace"
ground-terminal,terminal-monospace,"Page ground — true dark, phosphor warm undertone","background: var(--tm-ground); color: var(--tm-fg); font-family: var(--tm-mono);","☐ ground L≥0.10 ☐ AA contrast body fg ☐ mono everywhere","--tm-ground: oklch(14% 0.01 130); --tm-fg: oklch(88% 0.02 130); --tm-mono: 'JetBrains Mono', monospace"
headline-display,terminal-monospace,"Display headline — mono, bracketed, restrained","font-family: var(--tm-mono); font-size: clamp(2rem, 5vw, 4rem); font-weight: 500; line-height: 1.1; color: var(--tm-fg);","☐ mono throughout ☐ no italic on display ☐ AA contrast ☐ tracking 0 (mono is fixed)","--tm-mono: 'JetBrains Mono', monospace; --tm-fg: oklch(88% 0.02 130)"
body-text,terminal-monospace,"Body — mono, ch-based max-width","font-family: var(--tm-mono); font-size: 14px; line-height: 1.55; max-width: 72ch; color: var(--tm-fg-body);","☐ AA contrast ☐ max 72ch (mono allows wider) ☐ line-height 1.5-1.6","--tm-mono: 'JetBrains Mono', monospace; --tm-fg-body: oklch(82% 0.015 130)"
prompt-line,terminal-monospace,"Command prompt — caret + cursor, mono","font-family: var(--tm-mono); color: var(--tm-fg); font-size: 14px;","☐ aria-label on prompt ☐ blinking cursor respects reduced-motion ☐ AA contrast","--tm-fg: oklch(88% 0.02 130); --tm-mono: 'JetBrains Mono', monospace"
cursor-blink,terminal-monospace,"Cursor blink — respects reduced-motion","display: inline-block; width: 0.6em; height: 1em; background: var(--tm-fg); animation: blink 1.06s steps(2) infinite;","☐ @media (prefers-reduced-motion) freezes animation ☐ aria-hidden ☐ AA contrast","--tm-fg: oklch(88% 0.02 130)"
form-input,terminal-monospace,"Text input — bracketed prompt, mono, transparent","padding: 6px 10px; background: transparent; color: var(--tm-fg); font-family: var(--tm-mono); font-size: 14px; border: 1px solid var(--tm-border); border-radius: 2px;","☐ font-size ≥16px iOS via media (or accept 14 with wider hit target) ☐ focus shifts border-color to accent ☐ AA contrast","--tm-fg: oklch(88% 0.02 130); --tm-border: oklch(40% 0.015 130); --tm-mono: 'JetBrains Mono', monospace"
table-data,terminal-monospace,"Data table — mono, ascii-style rules, tabular-nums (mono is)","width: 100%; border-collapse: collapse; font-family: var(--tm-mono); font-size: 13px;","☐ tabular by default (mono) ☐ hairline rules ☐ AA contrast ☐ no chromatic zebra","--tm-mono: 'JetBrains Mono', monospace"
card-feature,terminal-monospace,"Feature card — hairline border, mono, square","padding: 16px; background: var(--tm-surface-1); color: var(--tm-fg); font-family: var(--tm-mono); border: 1px solid var(--tm-border); border-radius: 2px;","☐ AA contrast ☐ hairline border (1px) ☐ no soft chromatic shadow","--tm-surface-1: oklch(18% 0.01 130); --tm-border: oklch(40% 0.015 130); --tm-fg: oklch(88% 0.02 130); --tm-mono: 'JetBrains Mono', monospace"
nav-top,terminal-monospace,"Top nav — bracketed wordmark, mono links","display: flex; justify-content: space-between; padding: 12px 24px; background: var(--tm-ground); border-bottom: 1px solid var(--tm-border); font-family: var(--tm-mono);","☐ semantic <nav> ☐ skip-link ☐ aria-current ☐ AA contrast","--tm-ground: oklch(14% 0.01 130); --tm-border: oklch(40% 0.015 130); --tm-mono: 'JetBrains Mono', monospace"
badge-status,terminal-monospace,"Status badge — bracketed mono","display: inline-flex; padding: 1px 6px; background: transparent; color: var(--tm-success); font-family: var(--tm-mono); font-size: 12px; border: 1px solid var(--tm-success); border-radius: 2px;","☐ semantic colour + text ☐ AA contrast on ground ☐ bracketed feel via tight padding","--tm-success: oklch(78% 0.18 145); --tm-mono: 'JetBrains Mono', monospace"
log-entry,terminal-monospace,"Log line — mono, timestamp + level + message","display: grid; grid-template-columns: 12ch 8ch 1fr; gap: 8px; font-family: var(--tm-mono); font-size: 13px; line-height: 1.5; color: var(--tm-fg-body);","☐ grid uses ch units ☐ tabular by default ☐ AA contrast ☐ semantic <pre> or <li> in list","--tm-mono: 'JetBrains Mono', monospace; --tm-fg-body: oklch(82% 0.015 130)"
divider-ascii,terminal-monospace,"Section divider — repeating dash pattern","height: 0; border-top: 1px dashed var(--tm-border); margin-block: 32px;","☐ semantic <hr> ☐ dashed mimics ascii ☐ aria-hidden if decorative","--tm-border: oklch(40% 0.015 130)"
modal,terminal-monospace,"Modal — square bordered, mono, bracketed title","padding: 24px; background: var(--tm-surface-1); border: 1px solid var(--tm-fg); border-radius: 2px; font-family: var(--tm-mono); max-width: 520px;","☐ focus-trap ☐ ESC closes ☐ bracketed title pattern ☐ AA contrast","--tm-surface-1: oklch(18% 0.01 130); --tm-fg: oklch(88% 0.02 130); --tm-mono: 'JetBrains Mono', monospace"
selection,terminal-monospace,"Text selection — accent ground, ground fg","background: var(--tm-fg); color: var(--tm-ground);","☐ AA contrast inverted ☐ applies via ::selection","--tm-fg: oklch(88% 0.02 130); --tm-ground: oklch(14% 0.01 130)"
focus-ring,terminal-monospace,"Focus ring — fg outline offset","outline: 2px solid var(--tm-fg); outline-offset: 2px;","☐ visible on all interactive ☐ AA contrast ☐ offset for visibility","--tm-fg: oklch(88% 0.02 130)"
list-vertical,terminal-monospace,"Vertical list — mono, leading dash markers","display: flex; flex-direction: column; gap: 4px; font-family: var(--tm-mono); list-style: none;","☐ semantic <ul>/<li> ☐ ::marker uses '- ' content ☐ AA contrast","--tm-mono: 'JetBrains Mono', monospace"
footer,terminal-monospace,"Footer — mono, hairline top rule","padding-block: 32px 24px; background: var(--tm-ground); border-top: 1px solid var(--tm-border); font-family: var(--tm-mono); font-size: 13px;","☐ semantic <footer> ☐ AA contrast ☐ mono everywhere","--tm-ground: oklch(14% 0.01 130); --tm-border: oklch(40% 0.015 130); --tm-mono: 'JetBrains Mono', monospace"
hover-state,terminal-monospace,"Hover affordance — inverse swap, no animation","background-color: var(--tm-fg); color: var(--tm-ground); transition: none;","☐ no soft transition (terminal feels instant) ☐ AA contrast inverted ☐ reduced-motion stable","--tm-fg: oklch(88% 0.02 130); --tm-ground: oklch(14% 0.01 130)"
