# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: data-density-bloomberg — terminal-inspired financial UI, dense rows, tabular-nums everywhere, semantic up/down colour, single-pixel rules.
# Direction: paired with directions/data-density-bloomberg.md.
target_type,style,prompt,css_template,checklist,css_vars
ground-terminal,data-density,"Page ground — true dark, financial-terminal feel","background: var(--dd-ground); color: var(--dd-fg); font-family: var(--dd-mono);","☐ ground L≥0.10 (not pure black) ☐ AA contrast body ☐ mono throughout for tabular alignment","--dd-ground: oklch(14% 0.005 250); --dd-fg: oklch(92% 0.005 250); --dd-mono: 'JetBrains Mono', 'Roboto Mono', monospace"
table-tick,data-density,"Tick table — dense rows, single-pixel rules, tabular-nums, semantic up/down","width: 100%; border-collapse: collapse; font-family: var(--dd-mono); font-variant-numeric: tabular-nums; font-size: 12px; line-height: 1.4;","☐ tabular-nums ☐ row-height ≤24px ☐ hairline rules ☐ no zebra ☐ AA contrast all cells","--dd-mono: 'JetBrains Mono', monospace"
row-tick,data-density,"Single tick row — minimum height, no padding waste","display: grid; grid-template-columns: 8ch 12ch 10ch 10ch 8ch; gap: 4px; padding: 2px 6px; border-bottom: 1px solid var(--dd-rule); align-items: center;","☐ ch-based columns ☐ vertical padding ≤4px ☐ tabular-nums ☐ AA contrast","--dd-rule: oklch(26% 0.005 250)"
delta-up,data-density,"Positive delta — semantic green, mono","color: var(--dd-up); font-variant-numeric: tabular-nums; font-weight: 500;","☐ AA contrast on ground ☐ semantic colour + arrow glyph (not colour alone) ☐ tabular-nums","--dd-up: oklch(72% 0.16 145)"
delta-down,data-density,"Negative delta — semantic red, mono","color: var(--dd-down); font-variant-numeric: tabular-nums; font-weight: 500;","☐ AA contrast on ground ☐ semantic colour + arrow glyph (not colour alone) ☐ tabular-nums","--dd-down: oklch(68% 0.22 25)"
delta-flat,data-density,"Flat delta — muted neutral","color: var(--dd-fg-muted); font-variant-numeric: tabular-nums;","☐ AA contrast ☐ neutral colour (not absent) ☐ tabular-nums","--dd-fg-muted: oklch(65% 0.005 250)"
cell-numeric,data-density,"Numeric cell — right-aligned, tabular-nums","text-align: right; font-variant-numeric: tabular-nums; padding-inline: 6px;","☐ right-aligned for digit alignment ☐ tabular-nums ☐ AA contrast","--dd-fg: oklch(92% 0.005 250)"
cell-label,data-density,"Label cell — left-aligned, uppercase ticker","text-align: left; font-weight: 500; text-transform: uppercase; letter-spacing: 0.02em; padding-inline: 6px;","☐ semantic colour + text (ticker conveys identity) ☐ AA contrast ☐ uppercase","--dd-fg: oklch(92% 0.005 250)"
header-row,data-density,"Header row — sticky, small caps, hairline rule below","position: sticky; top: 0; background: var(--dd-ground); color: var(--dd-fg-muted); font-size: 10px; font-weight: 600; text-transform: uppercase; letter-spacing: 0.06em; padding: 4px 6px; border-bottom: 1px solid var(--dd-fg-muted);","☐ semantic <th scope='col'> ☐ sticky on scroll ☐ AA contrast","--dd-ground: oklch(14% 0.005 250); --dd-fg-muted: oklch(65% 0.005 250)"
nav-top,data-density,"Top nav — single-row dense, mono, hairline rule","display: flex; align-items: center; gap: 16px; padding: 6px 12px; background: var(--dd-ground); border-bottom: 1px solid var(--dd-rule); font-family: var(--dd-mono); font-size: 12px; height: 32px;","☐ semantic <nav> ☐ skip-link ☐ dense height (≤32px) ☐ AA contrast","--dd-ground: oklch(14% 0.005 250); --dd-rule: oklch(26% 0.005 250); --dd-mono: 'JetBrains Mono', monospace"
