# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Sample shipped in Phase 4 — full corpus lands in Phase 7. See skills/data/corpus/README.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,modern-minimal,"Primary action button — sans, generous padding, single accent","padding: 12px 24px; background: var(--mm-accent); color: oklch(98% 0 0); border-radius: var(--mm-radius); font-weight: 500; transition: background-color 200ms var(--mm-ease);","☐ AA contrast verified ☐ focus-visible ring ☐ hover-state shifts background only ☐ 44x44 touch min","--mm-accent: oklch(50% 0.12 250); --mm-radius: 8px; --mm-ease: cubic-bezier(0.35,0.35,0,1)"
button-secondary,modern-minimal,"Secondary action — outlined, restrained","padding: 12px 24px; background: transparent; color: var(--mm-fg); border: 1px solid var(--mm-border); border-radius: var(--mm-radius); font-weight: 500;","☐ AA contrast on border ☐ hover shifts border-color ☐ disabled state opacity 0.5","--mm-fg: oklch(15% 0.005 250); --mm-border: oklch(92% 0.003 250); --mm-radius: 8px"
button-ghost,modern-minimal,"Tertiary action — no chrome, hover-only emphasis","padding: 12px 24px; background: transparent; color: var(--mm-fg-muted); border-radius: var(--mm-radius); font-weight: 500; transition: color 150ms;","☐ hover shifts color to fg ☐ visible focus ring ☐ adequate touch target","--mm-fg-muted: oklch(45% 0.005 250)"
card-feature,modern-minimal,"Feature card — single-column, generous padding, subtle border","padding: var(--mm-pad); background: var(--mm-bg-elev); border: 1px solid var(--mm-border); border-radius: var(--mm-radius);","☐ no nested cards ☐ headline weight 600 ☐ body line-height 1.55 ☐ dark-mode token paired","--mm-pad: 24px; --mm-bg-elev: oklch(97% 0.002 250)"
card-product,modern-minimal,"Product card — image-top, no shadow, hover-shifts-border","display: grid; grid-template-rows: auto 1fr auto; gap: 12px; padding: 16px; border: 1px solid var(--mm-border); border-radius: var(--mm-radius); transition: border-color 200ms;","☐ image aspect-ratio locked ☐ price as tabular-nums ☐ hover affordance visible","--mm-border: oklch(92% 0.003 250); --mm-radius: 8px"
hero-marketing,modern-minimal,"Marketing hero — centered, single value prop, single CTA","max-width: 72ch; margin-inline: auto; padding-block: 96px; text-align: center;","☐ headline max 12 words ☐ subhead max 22 words ☐ single primary CTA ☐ no hero-metric template","--mm-section-y: 96px"
hero-product,modern-minimal,"Product hero — side-by-side text+image, asymmetric grid","display: grid; grid-template-columns: 1.2fr 1fr; gap: 64px; align-items: center; padding-block: 80px;","☐ mobile collapses to stacked ☐ image lazy-load ☐ headline weight 600","--mm-section-y: 80px"
nav-top,modern-minimal,"Top nav — sticky, transparent-on-scroll-top, blurred-on-scroll","position: sticky; top: 0; padding: 16px 32px; background: var(--mm-bg); border-bottom: 1px solid transparent; transition: border-color 200ms, backdrop-filter 200ms;","☐ keyboard-nav works ☐ skip-link present ☐ aria-current on active item","--mm-bg: oklch(99% 0.002 250)"
nav-sidebar,modern-minimal,"Sidebar nav — fixed-width, scroll-internal, collapsible","width: 240px; height: 100dvh; padding: 16px; border-right: 1px solid var(--mm-border); overflow-y: auto;","☐ active item aria-current ☐ collapse mobile to drawer ☐ touch target ≥44px","--mm-border: oklch(92% 0.003 250)"
form-input,modern-minimal,"Text input — labeled-above, subtle border, focus-ring","padding: 10px 12px; background: var(--mm-bg); border: 1px solid var(--mm-border); border-radius: 6px; font-size: 16px;","☐ font-size 16px+ iOS ☐ autocomplete attr ☐ visible label ☐ AA contrast","--mm-border: oklch(92% 0.003 250); --mm-bg: oklch(99% 0.002 250)"
form-label,modern-minimal,"Form label — above input, mid-weight","display: block; margin-bottom: 6px; font-weight: 500; color: var(--mm-fg);","☐ for attribute matches input id ☐ required indicator visible","--mm-fg: oklch(15% 0.005 250)"
form-error,modern-minimal,"Inline form error — below input, semantic color","margin-top: 6px; font-size: 13px; color: oklch(55% 0.20 25);","☐ aria-describedby links to error ☐ icon + text (not color alone)","--mm-error: oklch(55% 0.20 25)"
table-data,modern-minimal,"Data table — alternating-row off, tabular-nums, subtle dividers","width: 100%; border-collapse: collapse; font-size: 14px;","☐ tabular-nums on numeric cols ☐ sticky header on scroll ☐ row hover affordance","--mm-row-pad: 12px"
list-vertical,modern-minimal,"Vertical list — sibling-gap, no chrome","display: flex; flex-direction: column; gap: 16px;","☐ list semantic ul/li ☐ items have unique aria-label","--mm-list-gap: 16px"
modal,modern-minimal,"Modal dialog — overlay + centered card, focus-trap","position: fixed; inset: 0; display: grid; place-items: center; background: oklch(10% 0 0 / 0.5);","☐ focus-trap engaged ☐ ESC closes ☐ ARIA dialog role ☐ inert background","--mm-overlay: oklch(10% 0 0 / 0.5)"
toast,modern-minimal,"Toast notification — bottom-right, slide-in, auto-dismiss","position: fixed; bottom: 24px; right: 24px; padding: 12px 16px; background: var(--mm-bg-elev); border: 1px solid var(--mm-border); border-radius: var(--mm-radius); box-shadow: 0 4px 12px -4px oklch(0% 0 0 / 0.12);","☐ aria-live polite ☐ dismissible ☐ stacks vertically","--mm-bg-elev: oklch(97% 0.002 250)"
empty-state,modern-minimal,"Empty state — centered, specific microcopy, single CTA","display: flex; flex-direction: column; align-items: center; gap: 16px; padding: 64px 24px; text-align: center;","☐ specific copy (no 'Welcome to') ☐ next-action CTA ☐ small visual marker if needed","--mm-empty-pad: 64px"
loading-spinner,modern-minimal,"Loading spinner — minimal, prefers-reduced-motion friendly","width: 24px; height: 24px; border: 2px solid var(--mm-border); border-top-color: var(--mm-accent); border-radius: 50%; animation: spin 800ms linear infinite;","☐ prefers-reduced-motion freezes ☐ aria-label set ☐ adequate size","--mm-accent: oklch(50% 0.12 250)"
skeleton,modern-minimal,"Skeleton loader — shimmer subtle, content-shape match","background: linear-gradient(90deg, var(--mm-bg-elev) 0%, var(--mm-border) 50%, var(--mm-bg-elev) 100%); background-size: 200% 100%; animation: shimmer 1.5s linear infinite;","☐ matches final layout shape ☐ animation respects reduced-motion ☐ aria-busy=true","--mm-shimmer-duration: 1.5s"
badge-status,modern-minimal,"Status badge — pill, semantic color, mid-weight","display: inline-flex; padding: 4px 10px; border-radius: 9999px; font-size: 12px; font-weight: 500; background: var(--mm-success-soft); color: var(--mm-success);","☐ semantic color + icon + text ☐ accessible name ☐ adequate contrast","--mm-success: oklch(55% 0.16 145); --mm-success-soft: oklch(95% 0.06 145)"
tag,modern-minimal,"Filter tag — pill, removable, mid-weight","display: inline-flex; align-items: center; gap: 6px; padding: 4px 10px; border-radius: 9999px; background: var(--mm-bg-elev); color: var(--mm-fg-muted); font-size: 13px;","☐ remove button is keyboard-reachable ☐ aria-label includes action","--mm-bg-elev: oklch(97% 0.002 250)"
breadcrumb,modern-minimal,"Breadcrumb — separator dot, current bold","display: flex; align-items: center; gap: 8px; font-size: 14px; color: var(--mm-fg-muted);","☐ aria-label='Breadcrumb' ☐ aria-current='page' on last","--mm-fg-muted: oklch(45% 0.005 250)"
pagination,modern-minimal,"Pagination — number-buttons, no arrows-only","display: flex; gap: 4px;","☐ aria-current='page' on current ☐ disabled state opacity 0.5 ☐ jump-to-first/last present","--mm-pad-page: 8px"
divider-section,modern-minimal,"Section divider — thin, subtle","height: 1px; background: var(--mm-border); margin-block: 48px;","☐ semantic <hr> when between sections ☐ aria-hidden for decorative","--mm-border: oklch(92% 0.003 250)"
footer-marketing,modern-minimal,"Marketing footer — multi-column, generous padding, muted","padding-block: 64px; background: var(--mm-bg-elev); border-top: 1px solid var(--mm-border);","☐ semantic <footer> ☐ multi-column responsive ☐ legal links present","--mm-footer-y: 64px"
testimonial-card,modern-minimal,"Testimonial — blockquote semantic, specific quote","padding: 24px; border-left: 2px solid var(--mm-accent); background: transparent;","☐ <blockquote>+<cite> semantic ☐ no stock avatar ☐ specific quote (not generic)","--mm-accent: oklch(50% 0.12 250)"
pricing-card-mid,modern-minimal,"Pricing card — mid-tier highlight, single emphasis method","padding: 32px; background: var(--mm-bg-elev); border: 2px solid var(--mm-accent); border-radius: var(--mm-radius); position: relative;","☐ ONE emphasis method only (border OR shadow OR scale) ☐ feature list semantic","--mm-bg-elev: oklch(97% 0.002 250); --mm-accent: oklch(50% 0.12 250)"
hero-cta-block,modern-minimal,"Hero CTA — primary + supporting microcopy below","display: flex; flex-direction: column; align-items: center; gap: 12px;","☐ single primary CTA ☐ no decorative em-dashes ☐ specific verb (not 'Submit')","--mm-cta-gap: 12px"
feature-grid,modern-minimal,"Feature grid — 3-column, equal-height, breathing room","display: grid; grid-template-columns: repeat(3, 1fr); gap: 32px;","☐ mobile collapses to 1-col ☐ items not visually equal-weight (vary copy length)","--mm-grid-gap: 32px"
icon-feature,modern-minimal,"Feature icon — 24px lucide, accent-on-hover","width: 24px; height: 24px; stroke: var(--mm-fg-muted); transition: stroke 200ms;","☐ stroke not fill ☐ aria-hidden if decorative ☐ adequate contrast","--mm-fg-muted: oklch(45% 0.005 250)"
