# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: dark-mode-noir — true dark ground (not pure black), elevated surfaces via lighter L, single warm accent, AA-throughout.
# Direction: paired with directions/dark-mode-noir.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,dark-mode-noir,"Primary button — warm accent on noir ground, AA-verified","padding: 12px 24px; background: var(--dn-accent); color: var(--dn-ground); border: none; border-radius: 6px; font-weight: 500; transition: background-color 200ms;","☐ AA contrast on accent fg ☐ ground NOT pure black ☐ visible focus ring (offset) ☐ 44x44 touch min","--dn-accent: oklch(72% 0.15 50); --dn-ground: oklch(14% 0.01 250)"
button-secondary,dark-mode-noir,"Secondary — outlined on noir, fg-elevated text","padding: 12px 24px; background: transparent; color: var(--dn-fg); border: 1px solid var(--dn-border); border-radius: 6px; font-weight: 500;","☐ AA contrast fg/ground ☐ border visible enough (not too faint) ☐ hover lifts border to accent","--dn-fg: oklch(94% 0.005 250); --dn-border: oklch(28% 0.01 250)"
ground-noir,dark-mode-noir,"Page ground — true dark (NOT pure black), warm undertone","background: var(--dn-ground); color: var(--dn-fg);","☐ ground L≥0.10 (not pure black) ☐ warm undertone (slight hue) ☐ AA contrast for body","--dn-ground: oklch(14% 0.01 250); --dn-fg: oklch(94% 0.005 250)"
surface-elevated,dark-mode-noir,"Elevated surface — lighter L via tint, not white-on-top","background: var(--dn-surface-1); border: 1px solid var(--dn-border); border-radius: 8px;","☐ elevation via lighter L (not white overlay) ☐ visible border for definition","--dn-surface-1: oklch(20% 0.01 250); --dn-border: oklch(28% 0.01 250)"
card-feature,dark-mode-noir,"Feature card — elevated surface, restrained padding","padding: 24px; background: var(--dn-surface-1); border: 1px solid var(--dn-border); border-radius: 8px;","☐ AA contrast text ☐ no soft chromatic shadow ☐ border visible enough","--dn-surface-1: oklch(20% 0.01 250); --dn-border: oklch(28% 0.01 250)"
nav-top,dark-mode-noir,"Top nav — noir ground, hairline divider, accent on hover","display: flex; justify-content: space-between; padding: 16px 32px; background: var(--dn-ground); border-bottom: 1px solid var(--dn-border);","☐ semantic <nav> ☐ skip-link ☐ aria-current ☐ AA contrast","--dn-ground: oklch(14% 0.01 250); --dn-border: oklch(28% 0.01 250)"
headline-display,dark-mode-noir,"Display headline — bright fg, restrained tracking","font-family: var(--dn-sans); font-size: clamp(2.5rem, 6vw, 5rem); font-weight: 600; line-height: 1.05; letter-spacing: -0.02em; color: var(--dn-fg);","☐ AA contrast (high — fg L≥0.92) ☐ line-height tight ☐ no chromatic gradient on text","--dn-sans: 'Inter', sans-serif; --dn-fg: oklch(94% 0.005 250)"
body-text,dark-mode-noir,"Body — slightly muted fg for less glare","font-family: var(--dn-sans); font-size: 16px; line-height: 1.6; max-width: 65ch; color: var(--dn-fg-body);","☐ AA contrast (body L≥0.85) ☐ max 65ch ☐ less glare than pure-white","--dn-sans: 'Inter', sans-serif; --dn-fg-body: oklch(88% 0.005 250)"
form-input,dark-mode-noir,"Text input — surface ground, focus accent border","padding: 10px 12px; background: var(--dn-surface-1); color: var(--dn-fg); border: 1px solid var(--dn-border); border-radius: 6px; font-size: 16px;","☐ font-size ≥16px iOS ☐ focus shifts border to accent ☐ AA contrast text ☐ visible label","--dn-surface-1: oklch(20% 0.01 250); --dn-fg: oklch(94% 0.005 250); --dn-border: oklch(28% 0.01 250)"
form-input-focus,dark-mode-noir,"Input focus state — accent border + glow-free","border-color: var(--dn-accent); outline: 2px solid var(--dn-accent); outline-offset: 1px;","☐ no soft chromatic glow ☐ visible focus ring ☐ AA contrast on accent","--dn-accent: oklch(72% 0.15 50)"
table-data,dark-mode-noir,"Data table — hairline rules, tabular-nums, no zebra","width: 100%; border-collapse: collapse; font-family: var(--dn-sans); font-variant-numeric: tabular-nums; font-size: 14px; color: var(--dn-fg-body);","☐ tabular-nums ☐ hairline rules between rows ☐ AA contrast ☐ no chromatic zebra","--dn-sans: 'Inter', sans-serif; --dn-fg-body: oklch(88% 0.005 250)"
badge-status,dark-mode-noir,"Status badge — semantic colour passes AA on noir","display: inline-flex; padding: 4px 10px; border-radius: 9999px; background: var(--dn-surface-1); color: var(--dn-success); font-size: 12px; font-weight: 600; border: 1px solid var(--dn-success);","☐ semantic colour + icon + text ☐ AA contrast colour-on-surface ☐ border for definition","--dn-success: oklch(72% 0.15 145); --dn-surface-1: oklch(20% 0.01 250)"
modal,dark-mode-noir,"Modal — elevated surface, overlay","position: fixed; inset: 0; display: grid; place-items: center; background: oklch(8% 0 0 / 0.65);","☐ focus-trap ☐ ESC closes ☐ inert background ☐ overlay darker than ground","--dn-overlay: oklch(8% 0 0 / 0.65)"
modal-card,dark-mode-noir,"Modal card — surface, hairline border","padding: 32px; background: var(--dn-surface-2); border: 1px solid var(--dn-border); border-radius: 12px; max-width: 520px;","☐ AA contrast all text ☐ visible border ☐ no soft shadow needed (border carries)","--dn-surface-2: oklch(22% 0.01 250); --dn-border: oklch(28% 0.01 250)"
divider-section,dark-mode-noir,"Section divider — visible hairline","height: 1px; background: var(--dn-border); margin-block: 48px;","☐ semantic <hr> ☐ visible enough to read ☐ aria-hidden if decorative","--dn-border: oklch(28% 0.01 250)"
focus-ring,dark-mode-noir,"Focus ring — accent outline, offset for visibility","outline: 2px solid var(--dn-accent); outline-offset: 2px;","☐ visible on all interactive ☐ AA contrast outline-on-ground ☐ offset for visibility","--dn-accent: oklch(72% 0.15 50)"
icon-feature,dark-mode-noir,"Feature icon — stroke-only, fg-muted","width: 24px; height: 24px; stroke: var(--dn-fg-muted); fill: none;","☐ stroke not fill ☐ aria-hidden if decorative ☐ AA contrast","--dn-fg-muted: oklch(70% 0.005 250)"
empty-state,dark-mode-noir,"Empty state — muted fg, accent CTA","display: flex; flex-direction: column; align-items: center; gap: 16px; padding: 64px 24px; text-align: center; color: var(--dn-fg-muted);","☐ specific copy ☐ accent CTA passes AA ☐ no Lorem","--dn-fg-muted: oklch(70% 0.005 250)"
footer,dark-mode-noir,"Footer — noir ground, hairline rule top","padding-block: 64px; background: var(--dn-ground); border-top: 1px solid var(--dn-border);","☐ semantic <footer> ☐ AA contrast ☐ multi-column responsive","--dn-ground: oklch(14% 0.01 250); --dn-border: oklch(28% 0.01 250)"
list-vertical,dark-mode-noir,"Vertical list — sibling-gap, fg-body","display: flex; flex-direction: column; gap: 16px; color: var(--dn-fg-body);","☐ semantic <ul>/<li> ☐ AA contrast ☐ adequate spacing","--dn-fg-body: oklch(88% 0.005 250)"
