# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: industrial-utilitarian — workhorse fonts, dense surfaces, safety-orange/yellow accents, hard contrast, no decoration.
# Direction: paired with directions/industrial-utilitarian.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,industrial-utilitarian,"Primary action — safety-orange ground, ink fg, square","padding: 12px 20px; background: var(--in-safety); color: var(--in-ink); border: 2px solid var(--in-ink); border-radius: 2px; font-family: var(--in-sans); font-weight: 700; font-size: 14px; text-transform: uppercase; letter-spacing: 0.04em;","☐ AA contrast safety/ink ☐ thick border (2px) ☐ visible focus ring ☐ 44x44 touch min","--in-safety: oklch(75% 0.18 65); --in-ink: oklch(18% 0.005 60); --in-sans: 'Roboto', 'Arial', sans-serif"
button-secondary,industrial-utilitarian,"Secondary — hard border, ink on cream","padding: 12px 20px; background: var(--in-cream); color: var(--in-ink); border: 2px solid var(--in-ink); border-radius: 2px; font-family: var(--in-sans); font-weight: 700; text-transform: uppercase;","☐ AA contrast ☐ uppercase + tracking ☐ thick border ☐ hover ground swaps to safety","--in-cream: oklch(92% 0.008 80); --in-ink: oklch(18% 0.005 60); --in-sans: 'Roboto', sans-serif"
ground-workhorse,industrial-utilitarian,"Page ground — neutral cream-grey, never pure white","background: var(--in-cream); color: var(--in-ink);","☐ ground not #fff ☐ AA contrast body ☐ workhorse undertone","--in-cream: oklch(92% 0.008 80); --in-ink: oklch(18% 0.005 60)"
headline-display,industrial-utilitarian,"Display headline — sans condensed, bold, uppercase","font-family: var(--in-sans-cond); font-size: clamp(2.5rem, 6vw, 5rem); font-weight: 700; line-height: 1.0; letter-spacing: 0.01em; text-transform: uppercase; color: var(--in-ink);","☐ uppercase applied ☐ condensed sans for density ☐ line-height tight ☐ AA contrast","--in-sans-cond: 'Roboto Condensed', 'Arial Narrow', sans-serif; --in-ink: oklch(18% 0.005 60)"
caution-stripe,industrial-utilitarian,"Caution stripe — diagonal safety-yellow pattern, decorative","background: repeating-linear-gradient(45deg, var(--in-caution) 0 12px, var(--in-ink) 12px 24px); height: 6px;","☐ aria-hidden if decorative ☐ AA contrast pattern stripes ☐ NOT used as colour-only meaning","--in-caution: oklch(85% 0.18 95); --in-ink: oklch(18% 0.005 60)"
card-spec,industrial-utilitarian,"Spec card — hard border, dense padding, mono spec rows","padding: 16px; background: var(--in-cream); color: var(--in-ink); border: 2px solid var(--in-ink); border-radius: 2px;","☐ thick border (2px) ☐ no soft shadow ☐ no rounded corners ☐ AA contrast","--in-cream: oklch(92% 0.008 80); --in-ink: oklch(18% 0.005 60)"
spec-row,industrial-utilitarian,"Spec row — label/value grid, mono value, hairline rule","display: grid; grid-template-columns: 1fr auto; gap: 16px; padding-block: 8px; border-bottom: 1px solid var(--in-rule); font-family: var(--in-sans); font-size: 13px;","☐ semantic <dl>/<dt>/<dd> ☐ tabular-nums on value ☐ AA contrast","--in-rule: oklch(72% 0.005 60); --in-sans: 'Roboto', sans-serif"
nav-top,industrial-utilitarian,"Top nav — thick rule, safety-orange stripe accent","display: flex; justify-content: space-between; padding: 12px 24px; background: var(--in-cream); border-bottom: 3px solid var(--in-ink); position: relative;","☐ semantic <nav> ☐ thick rule (3px) ☐ skip-link ☐ aria-current","--in-cream: oklch(92% 0.008 80); --in-ink: oklch(18% 0.005 60)"
nav-link,industrial-utilitarian,"Nav link — uppercase sans, hover-shifts-bg-to-safety","color: var(--in-ink); font-family: var(--in-sans); font-size: 13px; font-weight: 700; text-transform: uppercase; letter-spacing: 0.04em; padding: 8px 12px; transition: background-color 100ms;","☐ AA contrast ☐ hover ground shifts to safety ☐ visible focus ring","--in-ink: oklch(18% 0.005 60); --in-sans: 'Roboto', sans-serif"
form-input,industrial-utilitarian,"Text input — thick black border, mono numerals, square","padding: 8px 12px; background: var(--in-cream); color: var(--in-ink); font-family: var(--in-sans); font-size: 16px; border: 2px solid var(--in-ink); border-radius: 2px;","☐ font-size ≥16px iOS ☐ focus shifts border to safety ☐ tabular-nums on numeric type ☐ AA contrast","--in-cream: oklch(92% 0.008 80); --in-ink: oklch(18% 0.005 60); --in-sans: 'Roboto', sans-serif"
