# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: monochrome-minimal — single-hue palette, generous whitespace, weight and size carry hierarchy (not colour).
# Direction: paired with directions/monochrome-minimal.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,monochrome-minimal,"Primary action — solid ink on ground, no colour accent","padding: 12px 24px; background: var(--mn-fg); color: var(--mn-ground); border: none; border-radius: 6px; font-family: var(--mn-sans); font-weight: 500; transition: opacity 200ms;","☐ AA contrast fg/ground ☐ no chromatic accent ☐ hover shifts opacity to 0.85 ☐ visible focus ring","--mn-fg: oklch(18% 0.005 250); --mn-ground: oklch(99% 0.002 250); --mn-sans: 'Inter', system-ui, sans-serif"
button-secondary,monochrome-minimal,"Secondary — outlined, monotone","padding: 12px 24px; background: transparent; color: var(--mn-fg); border: 1px solid var(--mn-fg); border-radius: 6px; font-weight: 500;","☐ AA contrast on border + text ☐ hover inverts fg/ground ☐ no chromatic shift","--mn-fg: oklch(18% 0.005 250)"
button-ghost,monochrome-minimal,"Ghost button — no chrome, hover-shifts-opacity","padding: 12px 24px; background: transparent; color: var(--mn-fg-muted); border-radius: 6px; font-weight: 500; transition: color 150ms;","☐ hover shifts color to fg ☐ visible focus ring ☐ adequate touch target","--mn-fg-muted: oklch(45% 0.005 250); --mn-fg: oklch(18% 0.005 250)"
headline-display,monochrome-minimal,"Display headline — large size carries hierarchy, single hue","font-family: var(--mn-sans); font-size: clamp(2.5rem, 6vw, 5rem); font-weight: 600; line-height: 1.05; letter-spacing: -0.02em; color: var(--mn-fg);","☐ size + weight carry hierarchy (no colour) ☐ line-height tight ☐ AA contrast","--mn-sans: 'Inter', sans-serif; --mn-fg: oklch(18% 0.005 250)"
body-text,monochrome-minimal,"Body — single hue, generous line-height","font-family: var(--mn-sans); font-size: 16px; line-height: 1.6; max-width: 65ch; color: var(--mn-fg);","☐ AA contrast ☐ max 65ch ☐ line-height 1.55-1.65","--mn-sans: 'Inter', sans-serif; --mn-fg: oklch(18% 0.005 250)"
card-feature,monochrome-minimal,"Feature card — soft tint of single hue, subtle border","padding: 24px; background: var(--mn-bg-elev); border: 1px solid var(--mn-border); border-radius: 8px;","☐ no chromatic accent ☐ border passes AA visibility ☐ no soft chromatic shadow","--mn-bg-elev: oklch(97% 0.005 250); --mn-border: oklch(90% 0.005 250)"
hero-marketing,monochrome-minimal,"Hero — single hue, weight + size carry, generous space","max-width: 72ch; margin-inline: auto; padding-block: 96px; text-align: center;","☐ no decorative chromatic graphic ☐ no hero-metric template ☐ single CTA","--mn-section-y: 96px"
nav-top,monochrome-minimal,"Top nav — monotone, hairline divider","display: flex; justify-content: space-between; padding: 16px 32px; background: var(--mn-ground); border-bottom: 1px solid var(--mn-border);","☐ semantic <nav> ☐ skip-link ☐ aria-current ☐ no chromatic accent","--mn-ground: oklch(99% 0.002 250); --mn-border: oklch(90% 0.005 250)"
form-input,monochrome-minimal,"Text input — neutral border, focus deepens border","padding: 10px 12px; background: var(--mn-ground); color: var(--mn-fg); border: 1px solid var(--mn-border); border-radius: 6px; font-size: 16px;","☐ font-size ≥16px iOS ☐ focus shifts border to fg ☐ AA contrast","--mn-ground: oklch(99% 0.002 250); --mn-fg: oklch(18% 0.005 250); --mn-border: oklch(90% 0.005 250)"
table-data,monochrome-minimal,"Data table — single hue, tabular-nums, hairline rules","width: 100%; border-collapse: collapse; font-family: var(--mn-sans); font-variant-numeric: tabular-nums; font-size: 14px;","☐ tabular-nums ☐ hairline rules ☐ no chromatic zebra ☐ AA contrast","--mn-sans: 'Inter', sans-serif"
