# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Sample shipped in Phase 4 — full corpus lands in Phase 7. See skills/data/corpus/README.md.
# Style: soft-neumorphic — extruded soft surfaces, dual-shadow logic, pastel grounds.
# CAUTION: this style is a11y-hostile by default. Foreground tokens here are DARK enough for WCAG AA
# against the pale ground — never thin the contrast further. Opt-in only; see directions/soft-neumorphic.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,soft-neumorphic,"Primary button — extruded, dual-shadow, soft pressed-in on active","padding: 14px 28px; background: var(--sn-ground); color: var(--sn-fg); border: none; border-radius: 16px; font-weight: 600; box-shadow: -6px -6px 12px var(--sn-shadow-light), 6px 6px 12px var(--sn-shadow-dark); transition: box-shadow 150ms ease-out;","☐ AA contrast on fg ☐ active state inverts to inset-shadow ☐ visible focus ring (outline-offset) ☐ 44x44 touch min","--sn-ground: oklch(93% 0.02 250); --sn-fg: oklch(30% 0.02 250); --sn-shadow-light: oklch(99% 0.005 250 / 0.8); --sn-shadow-dark: oklch(75% 0.02 250 / 0.4)"
button-active-state,soft-neumorphic,"Active/pressed state — inset shadow flip","background: var(--sn-ground); box-shadow: inset -4px -4px 8px var(--sn-shadow-light), inset 4px 4px 8px var(--sn-shadow-dark);","☐ same ground as resting state ☐ shadow direction reverses ☐ no jump in size ☐ transition <200ms","--sn-shadow-light: oklch(99% 0.005 250 / 0.8); --sn-shadow-dark: oklch(75% 0.02 250 / 0.4)"
card-feature,soft-neumorphic,"Feature card — extruded soft surface, generous padding","padding: 32px; background: var(--sn-ground); border-radius: 24px; box-shadow: -8px -8px 16px var(--sn-shadow-light), 8px 8px 16px var(--sn-shadow-dark);","☐ no nested neumorphic surfaces ☐ fg color passes AA ☐ generous padding ≥24px ☐ never stack on dark ground","--sn-ground: oklch(93% 0.02 250); --sn-shadow-light: oklch(99% 0.005 250 / 0.8); --sn-shadow-dark: oklch(75% 0.02 250 / 0.4)"
toggle-switch,soft-neumorphic,"Toggle — pill-shaped extruded, with sliding indicator","width: 56px; height: 30px; background: var(--sn-ground); border-radius: 9999px; box-shadow: inset -3px -3px 6px var(--sn-shadow-light), inset 3px 3px 6px var(--sn-shadow-dark); position: relative;","☐ checked state visible without colour alone (also moves position) ☐ aria-checked attr ☐ keyboard activatable ☐ AA","--sn-ground: oklch(93% 0.02 250)"
slider-track,soft-neumorphic,"Range slider track — inset channel","height: 8px; background: var(--sn-ground); border-radius: 9999px; box-shadow: inset -2px -2px 4px var(--sn-shadow-light), inset 2px 2px 4px var(--sn-shadow-dark);","☐ thumb is extruded (opposite to inset track) ☐ value label visible ☐ AA on label","--sn-ground: oklch(93% 0.02 250)"
slider-thumb,soft-neumorphic,"Range slider thumb — extruded, contrast accent","width: 20px; height: 20px; background: var(--sn-ground); border-radius: 50%; box-shadow: -3px -3px 6px var(--sn-shadow-light), 3px 3px 6px var(--sn-shadow-dark); cursor: grab;","☐ visible focus ring offset from thumb ☐ cursor grab→grabbing on active","--sn-ground: oklch(93% 0.02 250)"
icon-circular,soft-neumorphic,"Circular icon button — small extruded surface for tactile feel","width: 44px; height: 44px; display: grid; place-items: center; background: var(--sn-ground); border-radius: 50%; box-shadow: -4px -4px 8px var(--sn-shadow-light), 4px 4px 8px var(--sn-shadow-dark); color: var(--sn-fg);","☐ icon stroke contrast AA ☐ 44x44 min target ☐ accessible label via aria","--sn-ground: oklch(93% 0.02 250); --sn-fg: oklch(30% 0.02 250)"
form-input,soft-neumorphic,"Text input — inset channel feel","padding: 12px 18px; background: var(--sn-ground); border: none; border-radius: 12px; color: var(--sn-fg); font-size: 16px; box-shadow: inset -3px -3px 6px var(--sn-shadow-light), inset 3px 3px 6px var(--sn-shadow-dark);","☐ font-size ≥16px (iOS) ☐ visible focus state (deepens inset) ☐ AA contrast on text","--sn-ground: oklch(93% 0.02 250); --sn-fg: oklch(30% 0.02 250)"
modal-card,soft-neumorphic,"Modal card — large extruded surface, ample padding","padding: 40px; background: var(--sn-ground); border-radius: 28px; box-shadow: -12px -12px 24px var(--sn-shadow-light), 12px 12px 24px var(--sn-shadow-dark); max-width: 480px;","☐ focus-trap engaged ☐ ESC closes ☐ never nest neumorphic-on-neumorphic","--sn-ground: oklch(93% 0.02 250)"
badge-status,soft-neumorphic,"Status badge — small extruded pill, color via accent","display: inline-flex; padding: 6px 14px; background: var(--sn-ground); border-radius: 9999px; color: var(--sn-accent); font-size: 12px; font-weight: 600; box-shadow: -2px -2px 4px var(--sn-shadow-light), 2px 2px 4px var(--sn-shadow-dark);","☐ accent color passes AA on ground ☐ semantic colour + text (not colour alone) ☐ tactile feel matches siblings","--sn-accent: oklch(50% 0.18 270); --sn-ground: oklch(93% 0.02 250)"
nav-tab,soft-neumorphic,"Active tab — inset (pressed-in) state, inactive extruded","padding: 12px 20px; background: var(--sn-ground); border-radius: 12px; color: var(--sn-fg); box-shadow: inset -3px -3px 6px var(--sn-shadow-light), inset 3px 3px 6px var(--sn-shadow-dark);","☐ aria-current applied ☐ inactive tabs extruded (positive shadow) ☐ AA contrast","--sn-ground: oklch(93% 0.02 250); --sn-fg: oklch(30% 0.02 250)"
