# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Sample shipped in Phase 4 — full corpus lands in Phase 7. See skills/data/corpus/README.md.
# Style: editorial-magazine — Cambria/Georgia headlines, monospace eyebrows, hairline rules, ivory ground.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,editorial-magazine,"Primary CTA — text-only with underline-on-hover, no chrome","padding: 0; background: transparent; color: var(--em-fg); font-family: var(--em-serif); font-size: 1.0625rem; font-weight: 500; border: none; border-bottom: 1px solid currentColor; padding-bottom: 2px; transition: opacity 200ms;","☐ AA contrast on fg ☐ visible focus-ring (offset outline) ☐ hover shifts opacity to 0.65 ☐ 44x44 effective tap area","--em-fg: oklch(20% 0.008 60); --em-serif: 'Cambria', 'Georgia', serif"
button-secondary,editorial-magazine,"Tertiary action — mono eyebrow style","padding: 8px 0; background: transparent; color: var(--em-fg-muted); font-family: var(--em-mono); font-size: 11px; text-transform: uppercase; letter-spacing: 0.08em; border: none;","☐ uppercase + tracking applied ☐ AA contrast ☐ adequate touch area via padding-left","--em-fg-muted: oklch(45% 0.005 60); --em-mono: 'JetBrains Mono', monospace"
hero-marketing,editorial-magazine,"Marketing hero — display serif headline + mono eyebrow + sub-deck","max-width: 72ch; margin-inline: auto; padding-block: 120px 80px;","☐ headline serif loaded ☐ mono eyebrow visible above headline ☐ no hero-metric ☐ drop-cap optional on first paragraph","--em-section-y: 120px"
headline-feature,editorial-magazine,"Feature headline — serif display, balanced wrap","font-family: var(--em-serif); font-size: clamp(2.5rem, 5vw, 4.5rem); font-weight: 500; line-height: 1.05; letter-spacing: -0.02em; text-wrap: balance; color: var(--em-fg);","☐ text-wrap balance applied ☐ line-height tight (1.05-1.15) ☐ negative letter-spacing for display","--em-serif: 'GT Sectra', 'Cambria', 'Georgia', serif"
eyebrow-section,editorial-magazine,"Section eyebrow — mono uppercase metadata above headlines","display: block; margin-bottom: 16px; font-family: var(--em-mono); font-size: 11px; font-weight: 500; text-transform: uppercase; letter-spacing: 0.08em; color: var(--em-fg-muted);","☐ adequate contrast vs ground ☐ tracking 0.08em ☐ accompanies headline (not standalone)","--em-mono: 'JetBrains Mono', monospace"
body-prose,editorial-magazine,"Long-form body — serif, generous line-height, oldstyle nums","font-family: var(--em-serif); font-size: 18px; line-height: 1.65; max-width: 65ch; font-variant-numeric: oldstyle-nums; color: var(--em-fg);","☐ max 65ch enforced ☐ line-height 1.6-1.75 ☐ oldstyle numerals in prose ☐ AA contrast","--em-fg: oklch(20% 0.008 60)"
pull-quote,editorial-magazine,"Pull-quote — display serif, no quote marks, hairline rule above","margin-block: 48px; padding-block: 24px; border-top: 1px solid var(--em-rule); border-bottom: 1px solid var(--em-rule); font-family: var(--em-serif); font-size: 1.75rem; line-height: 1.3; font-weight: 400; font-style: italic;","☐ semantic <blockquote> ☐ no quote-mark glyphs ☐ hairline rules top+bottom ☐ italic not bold","--em-rule: oklch(70% 0.008 60)"
hairline-rule,editorial-magazine,"Section divider — hairline rule, no box","height: 1px; background: var(--em-rule); margin-block: 64px;","☐ semantic <hr> ☐ aria-hidden if decorative ☐ no box-shadow or gradient","--em-rule: oklch(70% 0.008 60)"
drop-cap,editorial-magazine,"Drop-cap — first letter of feature story, 4-5× body size","initial-letter: 3 2; margin-right: 8px; font-family: var(--em-serif); font-weight: 500; color: var(--em-accent);","☐ initial-letter supported (fallback to float+font-size) ☐ accent color used ☐ first paragraph only","--em-accent: oklch(38% 0.14 25)"
card-article,editorial-magazine,"Article card — image-top, mono metadata, serif headline","display: flex; flex-direction: column; gap: 12px; padding: 0; background: transparent; border: none;","☐ semantic <article> ☐ image aspect-ratio locked ☐ mono eyebrow visible ☐ no card border or shadow","--em-card-gap: 12px"
