# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: bauhaus-geometric — primary triad (red/yellow/blue), geometric shapes (circle/square/triangle), Futura-feel sans, flat colour blocks.
# Direction: paired with directions/bauhaus-geometric.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,bauhaus-geometric,"Primary button — solid primary-red, square, geometric sans","padding: 14px 28px; background: var(--bg-red); color: var(--bg-ink); border: none; border-radius: 0; font-family: var(--bg-sans); font-weight: 700; font-size: 14px; text-transform: uppercase; letter-spacing: 0.05em;","☐ AA contrast (red passes black-fg) ☐ no rounded corners ☐ uppercase + tracking ☐ visible focus ring ☐ 44x44 touch min","--bg-red: oklch(58% 0.21 25); --bg-ink: oklch(15% 0 0); --bg-sans: 'Futura', 'Avenir Next', 'Trebuchet MS', sans-serif"
button-secondary,bauhaus-geometric,"Secondary — primary-blue ground","padding: 14px 28px; background: var(--bg-blue); color: var(--bg-cream); border: none; border-radius: 0; font-family: var(--bg-sans); font-weight: 700; text-transform: uppercase;","☐ AA contrast blue/cream ☐ no rounded corners ☐ uppercase","--bg-blue: oklch(45% 0.18 250); --bg-cream: oklch(96% 0.012 90); --bg-sans: 'Futura', 'Avenir Next', sans-serif"
button-circle,bauhaus-geometric,"Circular action button — yellow primary","width: 56px; height: 56px; background: var(--bg-yellow); color: var(--bg-ink); border: none; border-radius: 50%; font-family: var(--bg-sans); font-weight: 700; display: grid; place-items: center;","☐ AA contrast yellow/ink ☐ perfect circle ☐ accessible label via aria","--bg-yellow: oklch(85% 0.18 95); --bg-ink: oklch(15% 0 0); --bg-sans: 'Futura', sans-serif"
shape-circle,bauhaus-geometric,"Geometric shape — pure circle, primary colour","width: 120px; height: 120px; background: var(--bg-red); border-radius: 50%; aspect-ratio: 1;","☐ pure 1:1 aspect ☐ flat colour (no gradient) ☐ aria-hidden if decorative","--bg-red: oklch(58% 0.21 25)"
shape-square,bauhaus-geometric,"Geometric shape — pure square, primary colour","width: 120px; height: 120px; background: var(--bg-blue); border-radius: 0; aspect-ratio: 1;","☐ pure 1:1 aspect ☐ flat colour (no gradient) ☐ no border-radius","--bg-blue: oklch(45% 0.18 250)"
shape-triangle,bauhaus-geometric,"Geometric shape — equilateral triangle via clip-path","width: 120px; height: 104px; background: var(--bg-yellow); clip-path: polygon(50% 0, 100% 100%, 0 100%);","☐ flat colour ☐ aria-hidden if decorative ☐ accessible alt if meaningful","--bg-yellow: oklch(85% 0.18 95)"
ground-cream,bauhaus-geometric,"Page ground — warm cream, never pure white","background: var(--bg-cream); color: var(--bg-ink);","☐ ground not #fff ☐ AA contrast body ☐ warm undertone","--bg-cream: oklch(96% 0.012 90); --bg-ink: oklch(15% 0 0)"
headline-display,bauhaus-geometric,"Display headline — geometric sans, ALL CAPS, restrained","font-family: var(--bg-sans); font-size: clamp(2.5rem, 6vw, 5rem); font-weight: 700; line-height: 1.0; letter-spacing: 0.02em; text-transform: uppercase; color: var(--bg-ink);","☐ uppercase + slight tracking ☐ line-height 0.95-1.05 ☐ AA contrast ☐ geometric sans loaded","--bg-sans: 'Futura', 'Avenir Next', sans-serif; --bg-ink: oklch(15% 0 0)"
nav-top,bauhaus-geometric,"Top nav — primary-colour block on left, links right","display: flex; justify-content: space-between; align-items: center; padding: 16px 32px; background: var(--bg-cream); border-bottom: 4px solid var(--bg-ink);","☐ semantic <nav> ☐ thick rule (4px) ☐ skip-link ☐ aria-current","--bg-cream: oklch(96% 0.012 90); --bg-ink: oklch(15% 0 0)"
card-feature,bauhaus-geometric,"Feature card — flat primary-colour block, geometric layout","padding: 32px; background: var(--bg-cream); border: 3px solid var(--bg-ink); border-radius: 0;","☐ no rounded corners ☐ no soft shadow ☐ thick border (3px) ☐ flat ground","--bg-cream: oklch(96% 0.012 90); --bg-ink: oklch(15% 0 0)"
hero-marketing,bauhaus-geometric,"Hero — composition of primary shapes, asymmetric grid","display: grid; grid-template-columns: 1fr 1fr; gap: 64px; padding-block: 96px 80px; align-items: center;","☐ asymmetric composition ☐ primary triad max 3 colours visible ☐ no decorative gradient ☐ single CTA","--bg-section-y: 96px"
form-input,bauhaus-geometric,"Text input — thick ink border, square, geometric sans","padding: 12px 16px; background: var(--bg-cream); color: var(--bg-ink); font-family: var(--bg-sans); font-size: 16px; border: 2px solid var(--bg-ink); border-radius: 0;","☐ font-size ≥16px iOS ☐ focus shifts border to primary colour ☐ no rounded corners ☐ AA contrast","--bg-cream: oklch(96% 0.012 90); --bg-ink: oklch(15% 0 0); --bg-sans: 'Futura', sans-serif"
badge-status,bauhaus-geometric,"Status badge — primary-colour fill, square","display: inline-flex; padding: 4px 10px; background: var(--bg-yellow); color: var(--bg-ink); font-family: var(--bg-sans); font-size: 11px; font-weight: 700; text-transform: uppercase; letter-spacing: 0.04em; border-radius: 0;","☐ no pill rounding ☐ AA contrast yellow/ink ☐ semantic colour and text","--bg-yellow: oklch(85% 0.18 95); --bg-ink: oklch(15% 0 0); --bg-sans: 'Futura', sans-serif"
divider-thick,bauhaus-geometric,"Section divider — thick primary-colour rule","height: 4px; background: var(--bg-ink); margin-block: 64px; border-radius: 0;","☐ semantic <hr> ☐ thick (4px) ☐ no gradient","--bg-ink: oklch(15% 0 0)"
icon-geometric,bauhaus-geometric,"Geometric icon — primary-shape based, flat","width: 32px; height: 32px; background: var(--bg-red); border-radius: 50%;","☐ flat colour (no gradient) ☐ aria-hidden if decorative ☐ AA contrast","--bg-red: oklch(58% 0.21 25)"
modal,bauhaus-geometric,"Modal — thick-bordered card, primary accent","padding: 40px; background: var(--bg-cream); border: 4px solid var(--bg-ink); border-radius: 0; max-width: 520px;","☐ focus-trap ☐ ESC closes ☐ no rounded corners ☐ AA contrast","--bg-cream: oklch(96% 0.012 90); --bg-ink: oklch(15% 0 0)"
