# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: museum-archive — institutional restraint, generous whitespace, serif-display + sans-meta, hairline rules, archival ivory ground.
# Direction: paired with directions/museum-archive.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,museum-archive,"Primary CTA — small-caps sans, ink underline","padding: 8px 0; background: transparent; color: var(--ma-ink); font-family: var(--ma-sans); font-size: 13px; font-weight: 500; text-transform: uppercase; letter-spacing: 0.12em; border: none; border-bottom: 1px solid var(--ma-ink); padding-bottom: 4px;","☐ AA contrast ☐ tracking 0.12em ☐ visible focus ring offset ☐ 44x44 effective touch via padding","--ma-ink: oklch(20% 0.005 60); --ma-sans: 'Inter', system-ui, sans-serif"
button-link,museum-archive,"Text-only — serif italic with chevron","padding: 0; background: transparent; color: var(--ma-ink); font-family: var(--ma-serif); font-style: italic; font-size: 1rem; border: none;","☐ AA contrast ☐ trailing chevron via ::after ☐ visible focus ring","--ma-ink: oklch(20% 0.005 60); --ma-serif: 'GT Sectra', 'Cambria', 'Georgia', serif"
ground-ivory,museum-archive,"Page ground — archival ivory, never pure white","background: var(--ma-ivory); color: var(--ma-ink);","☐ ground not #fff ☐ AA contrast body ☐ warm archival undertone","--ma-ivory: oklch(96% 0.014 85); --ma-ink: oklch(20% 0.005 60)"
headline-display,museum-archive,"Display headline — serif, restrained, flush-left","font-family: var(--ma-serif); font-size: clamp(2.5rem, 5vw, 4.5rem); font-weight: 400; line-height: 1.05; letter-spacing: -0.015em; color: var(--ma-ink); text-align: left;","☐ flush-left ☐ weight 400 (institutional restraint) ☐ AA contrast ☐ serif loaded","--ma-serif: 'GT Sectra', 'Cambria', serif; --ma-ink: oklch(20% 0.005 60)"
metadata-row,museum-archive,"Metadata row — sans uppercase, hairline rules above and below","display: grid; grid-template-columns: 12ch 1fr; gap: 24px; padding-block: 16px; border-block: 1px solid var(--ma-rule); font-family: var(--ma-sans); font-size: 12px; text-transform: uppercase; letter-spacing: 0.08em; color: var(--ma-ink-muted);","☐ AA contrast ☐ tracking 0.08em ☐ definition-list pattern (<dl>/<dt>/<dd> semantically)","--ma-rule: oklch(78% 0.008 60); --ma-sans: 'Inter', sans-serif; --ma-ink-muted: oklch(40% 0.005 60)"
body-prose,museum-archive,"Body prose — serif, oldstyle nums, generous leading","font-family: var(--ma-serif-text); font-size: 17px; line-height: 1.65; max-width: 62ch; font-variant-numeric: oldstyle-nums; color: var(--ma-ink);","☐ max 62ch ☐ line-height 1.6-1.7 ☐ oldstyle nums ☐ AA contrast","--ma-serif-text: 'Cambria', 'Georgia', serif; --ma-ink: oklch(20% 0.005 60)"
caption-archival,museum-archive,"Caption — sans uppercase, small, archival metadata","margin-top: 12px; font-family: var(--ma-sans); font-size: 11px; font-weight: 500; text-transform: uppercase; letter-spacing: 0.08em; color: var(--ma-ink-muted);","☐ semantic <figcaption> ☐ tracking 0.08em ☐ AA contrast","--ma-sans: 'Inter', sans-serif; --ma-ink-muted: oklch(40% 0.005 60)"
nav-top,museum-archive,"Top nav — serif wordmark, sans uppercase links, hairline rule","display: flex; justify-content: space-between; align-items: baseline; padding: 24px 48px; background: var(--ma-ivory); border-bottom: 1px solid var(--ma-rule); font-family: var(--ma-sans);","☐ semantic <nav> ☐ baseline alignment ☐ skip-link ☐ uppercase links","--ma-ivory: oklch(96% 0.014 85); --ma-rule: oklch(78% 0.008 60); --ma-sans: 'Inter', sans-serif"
card-catalog,museum-archive,"Catalogue card — no chrome, hairline top rule, serif title","padding: 24px 0; background: transparent; border: none; border-top: 1px solid var(--ma-rule); border-radius: 0;","☐ no shadow ☐ no rounded corners ☐ hairline only ☐ serif title","--ma-rule: oklch(78% 0.008 60)"
form-input,museum-archive,"Text input — bottom-rule only, serif body","padding: 8px 0; background: transparent; color: var(--ma-ink); font-family: var(--ma-serif-text); font-size: 1rem; border: none; border-bottom: 1px solid var(--ma-rule); border-radius: 0;","☐ font-size ≥16px iOS via rem ☐ focus shifts border-bottom-color ☐ visible label above ☐ AA contrast","--ma-ink: oklch(20% 0.005 60); --ma-rule: oklch(78% 0.008 60); --ma-serif-text: 'Cambria', serif"
