# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: paper-tactile — warm paper ground, soft offset shadow (not soft-glow), torn-edge rules, serif body, tactile motion.
# Direction: paired with directions/paper-tactile.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,paper-tactile,"Primary button — ink on cream, soft offset shadow, tactile press","padding: 12px 24px; background: var(--pt-ink); color: var(--pt-cream); border: none; border-radius: 4px; font-family: var(--pt-serif); font-weight: 500; box-shadow: 2px 2px 0 0 var(--pt-shadow); transition: transform 100ms ease-out, box-shadow 100ms ease-out;","☐ AA contrast ☐ active state: translate(1px,1px) + smaller shadow ☐ visible focus ring ☐ 44x44 touch min","--pt-ink: oklch(22% 0.02 60); --pt-cream: oklch(95% 0.025 80); --pt-shadow: oklch(60% 0.015 60); --pt-serif: 'Cambria', 'Georgia', serif"
button-active-state,paper-tactile,"Pressed state — translate + smaller offset shadow","transform: translate(1px, 1px); box-shadow: 1px 1px 0 0 var(--pt-shadow);","☐ tactile press feedback ☐ no scale jump ☐ reduced-motion freezes","--pt-shadow: oklch(60% 0.015 60)"
ground-paper,paper-tactile,"Page ground — warm cream, never pure white","background: var(--pt-cream); color: var(--pt-ink);","☐ ground not #fff ☐ AA contrast body ☐ warm undertone (oklch chroma ≥0.02)","--pt-cream: oklch(95% 0.025 80); --pt-ink: oklch(22% 0.02 60)"
card-feature,paper-tactile,"Feature card — cream surface, offset shadow, hairline border","padding: 24px; background: var(--pt-cream-elev); border: 1px solid var(--pt-rule); border-radius: 6px; box-shadow: 3px 3px 0 0 var(--pt-shadow);","☐ offset (not soft-glow) shadow ☐ tactile lift on hover ☐ no soft chromatic shadow","--pt-cream-elev: oklch(97% 0.022 80); --pt-rule: oklch(75% 0.015 60); --pt-shadow: oklch(60% 0.015 60)"
headline-display,paper-tactile,"Display headline — serif, ink, restrained tracking","font-family: var(--pt-serif); font-size: clamp(2.5rem, 6vw, 5rem); font-weight: 500; line-height: 1.05; letter-spacing: -0.015em; color: var(--pt-ink);","☐ serif loaded ☐ line-height 1.0-1.1 ☐ AA contrast","--pt-serif: 'Cambria', 'Georgia', serif; --pt-ink: oklch(22% 0.02 60)"
body-prose,paper-tactile,"Body prose — serif, generous leading","font-family: var(--pt-serif-text); font-size: 18px; line-height: 1.65; max-width: 65ch; color: var(--pt-ink);","☐ max 65ch ☐ line-height 1.6-1.7 ☐ AA contrast","--pt-serif-text: 'Cambria', 'Georgia', serif; --pt-ink: oklch(22% 0.02 60)"
hero-marketing,paper-tactile,"Hero — cream ground, serif headline, asymmetric grid","display: grid; grid-template-columns: 1.2fr 1fr; gap: 48px; padding-block: 96px 64px; align-items: end;","☐ no hero-metric template ☐ no decorative chromatic graphic ☐ single CTA","--pt-section-y: 96px"
nav-top,paper-tactile,"Top nav — cream ground, hairline rule, serif wordmark","display: flex; justify-content: space-between; align-items: baseline; padding: 20px 32px; background: var(--pt-cream); border-bottom: 1px solid var(--pt-rule);","☐ semantic <nav> ☐ skip-link ☐ baseline alignment ☐ AA contrast","--pt-cream: oklch(95% 0.025 80); --pt-rule: oklch(75% 0.015 60)"
form-input,paper-tactile,"Text input — inset cream surface, hairline border","padding: 10px 14px; background: var(--pt-cream-inset); color: var(--pt-ink); font-family: var(--pt-serif-text); font-size: 16px; border: 1px solid var(--pt-rule); border-radius: 4px;","☐ font-size ≥16px iOS ☐ focus deepens border + adds inset shadow ☐ AA contrast","--pt-cream-inset: oklch(93% 0.022 80); --pt-rule: oklch(75% 0.015 60); --pt-ink: oklch(22% 0.02 60); --pt-serif-text: 'Cambria', serif"
table-data,paper-tactile,"Data table — hairline rules, serif body, tabular-nums","width: 100%; border-collapse: collapse; font-family: var(--pt-serif-text); font-variant-numeric: tabular-nums; font-size: 15px; color: var(--pt-ink);","☐ tabular-nums ☐ hairline rules ☐ AA contrast ☐ no chromatic zebra","--pt-serif-text: 'Cambria', serif; --pt-ink: oklch(22% 0.02 60)"
divider-torn,paper-tactile,"Section divider — soft repeating dot pattern, paper edge","height: 4px; background-image: radial-gradient(circle, var(--pt-rule) 1px, transparent 1.2px); background-size: 8px 4px; background-repeat: repeat-x; margin-block: 56px;","☐ semantic <hr> ☐ pattern not soft-glow ☐ aria-hidden if decorative","--pt-rule: oklch(75% 0.015 60)"
badge-status,paper-tactile,"Status badge — small offset shadow, serif","display: inline-flex; padding: 4px 10px; background: var(--pt-cream-elev); color: var(--pt-ink); font-family: var(--pt-serif-text); font-size: 12px; font-weight: 600; border: 1px solid var(--pt-rule); border-radius: 4px; box-shadow: 1px 1px 0 0 var(--pt-shadow);","☐ semantic colour + text ☐ offset shadow (not soft-glow) ☐ AA contrast","--pt-cream-elev: oklch(97% 0.022 80); --pt-rule: oklch(75% 0.015 60); --pt-shadow: oklch(60% 0.015 60); --pt-serif-text: 'Cambria', serif; --pt-ink: oklch(22% 0.02 60)"
modal,paper-tactile,"Modal — cream card, offset shadow, generous padding","padding: 40px; background: var(--pt-cream-elev); border: 1px solid var(--pt-rule); border-radius: 6px; box-shadow: 6px 6px 0 0 var(--pt-shadow); max-width: 520px;","☐ focus-trap ☐ ESC closes ☐ offset shadow not soft-glow ☐ AA contrast","--pt-cream-elev: oklch(97% 0.022 80); --pt-rule: oklch(75% 0.015 60); --pt-shadow: oklch(60% 0.015 60)"
pull-quote,paper-tactile,"Pull-quote — serif italic, hairline rules, generous block","margin-block: 48px; padding-block: 24px; border-block: 1px solid var(--pt-rule); font-family: var(--pt-serif); font-size: 1.5rem; line-height: 1.3; font-style: italic; color: var(--pt-ink);","☐ semantic <blockquote> ☐ italic loaded ☐ no glyph quotes ☐ AA contrast","--pt-serif: 'Cambria', serif; --pt-rule: oklch(75% 0.015 60); --pt-ink: oklch(22% 0.02 60)"
caption-italic,paper-tactile,"Image caption — italic serif, small","margin-top: 8px; font-family: var(--pt-serif-text); font-size: 13px; font-style: italic; color: var(--pt-ink-muted);","☐ semantic <figcaption> ☐ AA contrast ☐ italic loaded","--pt-serif-text: 'Cambria', serif; --pt-ink-muted: oklch(45% 0.015 60)"
footer,paper-tactile,"Footer — cream ground, hairline top rule, serif","padding-block: 64px 40px; background: var(--pt-cream); border-top: 1px solid var(--pt-rule); font-family: var(--pt-serif-text);","☐ semantic <footer> ☐ multi-column responsive ☐ AA contrast","--pt-cream: oklch(95% 0.025 80); --pt-rule: oklch(75% 0.015 60); --pt-serif-text: 'Cambria', serif"
list-prose,paper-tactile,"Prose list — serif, hanging bullets","font-family: var(--pt-serif-text); font-size: 18px; line-height: 1.65; padding-left: 1.5em;","☐ semantic <ul>/<ol> ☐ hanging bullets ☐ items breathe","--pt-serif-text: 'Cambria', serif"
