# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: swiss-international — grid-first, Helvetica/Inter neue-grotesk, ample whitespace, flush-left rigour.
# Direction: paired with directions/swiss-international-style.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,swiss-international,"Primary action — square corners, flat colour, neue-grotesk weight 500","padding: 14px 28px; background: var(--si-fg); color: var(--si-ground); border: none; border-radius: 0; font-family: var(--si-grotesk); font-weight: 500; font-size: 15px; letter-spacing: 0;","☐ AA contrast on fg ☐ no border-radius ☐ visible focus ring (offset outline 2px) ☐ 44x44 touch min","--si-fg: oklch(18% 0.005 250); --si-ground: oklch(98% 0.002 250); --si-grotesk: 'Inter', 'Helvetica Neue', system-ui, sans-serif"
button-secondary,swiss-international,"Secondary — hairline border, square, neue-grotesk","padding: 14px 28px; background: transparent; color: var(--si-fg); border: 1px solid var(--si-fg); border-radius: 0; font-family: var(--si-grotesk); font-weight: 500;","☐ AA contrast on border + text ☐ no rounded corners ☐ hover inverts fg/ground","--si-fg: oklch(18% 0.005 250); --si-grotesk: 'Inter', 'Helvetica Neue', system-ui, sans-serif"
headline-display,swiss-international,"Display headline — neue-grotesk, flush-left, tight tracking, no display weight","font-family: var(--si-grotesk); font-size: clamp(2.5rem, 6vw, 5rem); font-weight: 500; line-height: 1.0; letter-spacing: -0.02em; text-align: left; color: var(--si-fg);","☐ line-height 0.95-1.05 ☐ flush-left (no center) ☐ weight 500 (not 700+) ☐ negative tracking for display","--si-grotesk: 'Inter', 'Helvetica Neue', sans-serif; --si-fg: oklch(18% 0.005 250)"
grid-12col,swiss-international,"12-column grid — strict, gap fixed, flush-left content","display: grid; grid-template-columns: repeat(12, 1fr); gap: 24px; max-width: 1280px; margin-inline: auto; padding-inline: 32px;","☐ 12-col strict ☐ no centred content blocks within grid ☐ mobile collapses to 4-col","--si-grid-gap: 24px; --si-grid-max: 1280px"
hero-marketing,swiss-international,"Hero — flush-left headline + sub, anchored to grid column 1-7","grid-column: 1 / 8; padding-block: 120px 80px; text-align: left;","☐ flush-left (no center) ☐ headline spans cols 1-7 ☐ no decorative graphic in hero ☐ single CTA","--si-section-y: 120px"
nav-top,swiss-international,"Top nav — wordmark left, links right, hairline rule below","display: grid; grid-template-columns: 1fr auto; align-items: center; padding: 24px 32px; border-bottom: 1px solid var(--si-rule); background: var(--si-ground); font-family: var(--si-grotesk);","☐ semantic <nav> ☐ skip-link ☐ flush-left wordmark ☐ aria-current on active","--si-ground: oklch(98% 0.002 250); --si-rule: oklch(80% 0.005 250); --si-grotesk: 'Inter', sans-serif"
nav-link,swiss-international,"Nav link — neue-grotesk, no underline, hover-shifts-opacity","color: var(--si-fg); font-family: var(--si-grotesk); font-weight: 500; font-size: 14px; text-decoration: none; transition: opacity 150ms;","☐ AA contrast ☐ visible focus ring ☐ hover opacity 0.65","--si-fg: oklch(18% 0.005 250)"
card-feature,swiss-international,"Feature card — no chrome, content-only, hairline top rule","padding: 32px 0; background: transparent; border: none; border-top: 1px solid var(--si-rule); border-radius: 0;","☐ no shadow ☐ no rounded corners ☐ hairline rule only ☐ generous padding-block","--si-rule: oklch(80% 0.005 250)"
form-input,swiss-international,"Text input — bottom-rule only, square, neue-grotesk","padding: 10px 0; background: transparent; color: var(--si-fg); font-family: var(--si-grotesk); font-size: 16px; border: none; border-bottom: 1px solid var(--si-rule); border-radius: 0;","☐ font-size ≥16px iOS ☐ focus shifts border-bottom-color ☐ label above input ☐ AA contrast","--si-fg: oklch(18% 0.005 250); --si-rule: oklch(80% 0.005 250)"
table-data,swiss-international,"Data table — hairline rules between rows, tabular-nums, flush-left","width: 100%; border-collapse: collapse; font-family: var(--si-grotesk); font-variant-numeric: tabular-nums; font-size: 14px;","☐ tabular-nums on numeric cols ☐ hairline rules only ☐ no zebra-striping ☐ flush-left text","--si-grotesk: 'Inter', sans-serif; --si-rule: oklch(80% 0.005 250)"
