# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: brutalist-raw — exposed structure, heavy weights, hard borders, system fonts, no decoration.
# Direction: paired with directions/brutalist-raw.md.
target_type,style,prompt,css_template,checklist,css_vars
button-primary,brutalist-raw,"Primary button — thick border, no radius, monospace, hard hover","padding: 14px 24px; background: var(--br-ground); color: var(--br-fg); border: 3px solid var(--br-fg); border-radius: 0; font-family: var(--br-mono); font-weight: 700; font-size: 14px; text-transform: uppercase; letter-spacing: 0.05em;","☐ AA contrast on text + border ☐ no rounded corners ☐ hover inverts fg/ground hard ☐ 44x44 touch min","--br-ground: oklch(95% 0 0); --br-fg: oklch(15% 0 0); --br-mono: 'JetBrains Mono', 'Courier New', monospace"
button-secondary,brutalist-raw,"Secondary — thin border, square, system-font","padding: 14px 24px; background: transparent; color: var(--br-fg); border: 1px solid var(--br-fg); border-radius: 0; font-family: var(--br-system); font-weight: 600; text-transform: uppercase; letter-spacing: 0.04em;","☐ AA contrast ☐ no rounded corners ☐ hover swaps ground-inverse","--br-fg: oklch(15% 0 0); --br-system: -apple-system, system-ui, sans-serif"
hero-marketing,brutalist-raw,"Hero — oversized headline, hard left-align, no decorative graphic","padding-block: 80px 64px; text-align: left;","☐ headline weight 700 + uppercase ☐ no center align ☐ no decorative graphics ☐ flush-left","--br-section-y: 80px"
headline-display,brutalist-raw,"Display headline — heavy weight, tight tracking, system-stack","font-family: var(--br-system); font-size: clamp(3rem, 8vw, 7rem); font-weight: 700; line-height: 0.95; letter-spacing: -0.04em; text-transform: uppercase; color: var(--br-fg);","☐ uppercase applied ☐ line-height 0.9-1.0 ☐ flush-left ☐ no decorative weight (no 900)","--br-system: -apple-system, system-ui, sans-serif; --br-fg: oklch(15% 0 0)"
card-feature,brutalist-raw,"Feature card — heavy border, raw padding, hard offset shadow on hover","padding: 24px; background: var(--br-ground); border: 3px solid var(--br-fg); border-radius: 0; transition: transform 100ms ease-out;","☐ hover: translate(-4px,-4px) + offset hard shadow ☐ no soft shadow ☐ no rounded corners","--br-ground: oklch(95% 0 0); --br-fg: oklch(15% 0 0)"
card-hover-state,brutalist-raw,"Card hover — hard offset shadow, no easing soft-shadow","transform: translate(-4px, -4px); box-shadow: 6px 6px 0 0 var(--br-fg);","☐ shadow is hard offset (no blur) ☐ transform paired with shadow ☐ reduced-motion freezes","--br-fg: oklch(15% 0 0)"
nav-top,brutalist-raw,"Top nav — bold wordmark, links flat caps, thick rule below","display: flex; justify-content: space-between; align-items: center; padding: 20px 32px; border-bottom: 3px solid var(--br-fg); background: var(--br-ground);","☐ semantic <nav> ☐ thick rule (3px) ☐ skip-link ☐ aria-current","--br-ground: oklch(95% 0 0); --br-fg: oklch(15% 0 0)"
nav-link,brutalist-raw,"Nav link — uppercase, mono, underline-on-hover hard","color: var(--br-fg); font-family: var(--br-mono); font-size: 13px; font-weight: 600; text-transform: uppercase; letter-spacing: 0.05em; text-decoration: none;","☐ AA contrast ☐ hover shows hard underline ☐ visible focus ring","--br-fg: oklch(15% 0 0); --br-mono: 'JetBrains Mono', monospace"
form-input,brutalist-raw,"Text input — thick black border, system font, square","padding: 12px 14px; background: var(--br-ground); color: var(--br-fg); font-family: var(--br-system); font-size: 16px; border: 2px solid var(--br-fg); border-radius: 0;","☐ font-size ≥16px iOS ☐ focus thickens border ☐ AA contrast ☐ visible label above","--br-ground: oklch(95% 0 0); --br-fg: oklch(15% 0 0); --br-system: -apple-system, sans-serif"
table-data,brutalist-raw,"Data table — thick rules, mono, uppercase headers","width: 100%; border-collapse: collapse; font-family: var(--br-mono); font-size: 14px;","☐ thick rules (2px) ☐ uppercase headers ☐ tabular-nums ☐ no zebra-striping","--br-mono: 'JetBrains Mono', monospace; --br-fg: oklch(15% 0 0)"
